CODE,Omschrijving
03000000-1,"Landbouw- en veeteelt-, kwekerij-, visserij-, bosbouw- en aanverwante producten"
03100000-2,Land- en tuinbouwproducten
03110000-5,Land- en tuinbouwgewassen en -producten
03111000-2,Zaden
03111100-3,Sojabonen
03111200-4,Pinda's
03111300-5,Zonnebloempitten
03111400-6,Katoenzaad
03111500-7,Sesamzaad
03111600-8,Mosterdzaad
03111700-9,Groentenzaad
03111800-0,Vruchtenzaad
03111900-1,Bloemenzaden
03112000-9,Ruwe tabak
03113000-6,Suikergewassen
03113100-7,Suikerbieten
03113200-8,Suikerriet
03114000-3,Stro en voedergewassen
03114100-4,Stro
03114200-5,Veevoeder
03115000-0,Ruw plantaardig materiaal
03115100-1,Ruw plantaardig materiaal voor de vervaardiging van textiel
03115110-4,Katoen
03115120-7,Jute
03115130-0,Vlas
03116000-7,"Natuurlijke rubber, latex en aanverwante producten"
03116100-8,Natuurlijke rubber
03116200-9,Natuurlijke latex
03116300-0,Latexproducten
03117000-4,Planten voor specifieke toepassingen
03117100-5,"Planten voor bereiding van parfum en geneesmiddelen, insectenbestrijding en dergelijke"
03117110-8,Planten gebruikt voor de bereiding van parfum
03117120-1,Planten gebruikt voor de bereiding van geneesmiddelen
03117130-4,Planten gebruikt voor insectenbestrijding
03117140-7,Planten gebruikt voor schimmelbestrijding of soortgelijke toepassingen
03117200-6,Plantenzaden voor specifieke toepassingen
03120000-8,Tuinbouw- en kwekerijproducten
03121000-5,Tuinbouwproducten
03121100-6,"Levende planten, bollen, wortels, stekken en enten"
03121200-7,Snijbloemen
03121210-0,Bloemstukken
03130000-1,Specerijgewassen en gewassen voor de vervaardiging van dranken
03131000-8,Gewassen bestemd voor de vervaardiging van dranken
03131100-9,Koffiebonen
03131200-0,Theestruiken
03131300-1,Maté
03131400-2,Cacaobonen
03132000-5,Niet-bewerkte specerijen
03140000-4,Dierlijke en aanverwante producten
03141000-1,Stierensperma
03142000-8,Dierlijke producten
03142100-9,Natuurlijke honing
03142200-0,Slakken
03142300-1,Eetbare producten van dierlijke oorsprong
03142400-2,Was
03142500-3,Eieren
03143000-5,Producten van gemengde bedrijven
03144000-2,Landbouwbenodigdheden
03200000-3,"Granen, aardappelen, groenten, vruchten en noten"
03210000-6,Granen en aardappelen
03211000-3,Granen
03211100-4,Tarwe
03211110-7,Harde tarwe
03211120-0,Zachte tarwe
03211200-5,Maïs
03211300-6,Rijst
03211400-7,Gerst
03211500-8,Rogge
03211600-9,Haver
03211700-0,Mout
03211900-2,Graanproducten
03212000-0,Aardappelen en gedroogde groenten
03212100-1,Aardappelen
03212200-2,Gedroogde peulvruchten en peulen
03212210-5,Gedroogde peulvruchten
03212211-2,Linzen
03212212-9,Kikkererwten
03212213-6,Gedroogde erwten
03212220-8,Peulvruchten
03220000-9,"Groenten, vruchten en noten"
03221000-6,Groenten
03221100-7,Wortel- en knolgewassen
03221110-0,Wortelgewassen
03221111-7,Rode bieten
03221112-4,Wortelen
03221113-1,Uien
03221114-8,Rapen
03221120-3,Knolgewassen
03221200-8,Vruchtgroenten
03221210-1,Bonen
03221211-8,Tuinbonen
03221212-5,Sperziebonen
03221213-2,Snijbonen
03221220-4,Erwten
03221221-1,Doperwten
03221222-8,Peultjes
03221230-7,Paprika's
03221240-0,Tomaten
03221250-3,Courgettes
03221260-6,Paddestoelen
03221270-9,Komkommers
03221300-9,Bladgroenten
03221310-2,Sla
03221320-5,Slabladeren
03221330-8,Artisjokken
03221340-1,Spinazie
03221400-0,Koolgroenten
03221410-3,Kool
03221420-6,Bloemkool
03221430-9,Broccoli
03221440-2,Spruitjes
03222000-3,Vruchten en noten
03222100-4,Tropische vruchten en noten
03222110-7,Tropisch fruit
03222111-4,Bananen
03222112-1,Ananassen
03222113-8,Mango's
03222114-5,Dadels
03222115-2,Rozijnen
03222116-9,Vijgen
03222117-6,Avocado's
03222118-3,Kiwi's
03222120-0,Kokosnoten
03222200-5,Citrusvruchten
03222210-8,Citroenen
03222220-1,Sinaasappels
03222230-4,Grapefruit
03222240-7,Mandarijntjes
03222250-0,Limoenen
03222300-6,Niet-tropisch fruit
03222310-9,Besvruchten
03222311-6,Krenten
03222312-3,Kruisbessen
03222313-0,Aardbeien
03222314-7,Frambozen
03222315-4,Veenbessen
03222320-2,"Appels, peren en kweeperen"
03222321-9,Appels
03222322-6,Peren
03222323-3,Kweeperen
03222330-5,Steenvruchten
03222331-2,Abrikozen
03222332-9,Perziken
03222333-6,Kersen
03222334-3,Pruimen
03222340-8,Druiven
03222341-5,Tafeldruiven
03222342-2,Wijndruiven
03222400-7,Olijven
03300000-2,"Veeteelt-, jacht- en visserijproducten"
03310000-5,"Vis, schaal- en schelpdieren en aquatische producten"
03311000-2,Vis
03311100-3,Platvissen
03311110-6,Tong
03311120-9,Schol
03311200-4,Kabeljauwachtigen
03311210-7,Kabeljauw
03311220-0,Pollak
03311230-3,Heek
03311240-6,Schelvis
03311300-5,Haring
03311400-6,Tonijn
03311500-7,Wijting
03311600-8,Zeebliek
03311700-9,Zalm
03312000-9,Schaaldieren
03312100-0,Oesters
03312200-1,Schelpdieren
03312300-2,Ongewervelde waterdieren
03313000-6,Aquatische producten
03313100-7,Koralen of soortgelijke producten
03313200-8,Natuurlijke sponsen
03313300-9,Zeewieren
03313310-2,Algen
03320000-8,Groot en kleinvee en andere kleine dieren
03321000-5,Vee
03321100-6,Rundvee
03321200-7,Kalveren
03322000-2,Vee
03322100-3,Schapen
03322200-4,Geiten
03322300-5,Paarden
03323000-9,Varkens
03324000-6,Levend pluimvee
03325000-3,Kleinvee
03325100-4,Konijnen
03325200-5,Hazen
03330000-3,Producten van boerderijdieren
03331000-0,Verse melk van schapen en geiten
03331100-1,Schapenmelk
03331200-2,Geitenmelk
03332000-7,Wol en dierlijk haar
03332100-8,Scheerwol
03332200-9,Dierlijk haar
03333000-4,Verse koemelk
03340000-6,Oormerken voor dieren
03341000-3,Oormerken voor rundvee
03400000-4,Producten van bosbouw en bosexploitatie
03410000-7,Hout
03411000-4,Naaldhout
03412000-1,Tropisch hout
03413000-8,Brandhout
03414000-5,Onbewerkt hout
03415000-2,Zachthout
03416000-9,Houtafval
03417000-6,Afvalhout
03417100-7,Zaagsel
03418000-3,Boomstammen
03418100-4,Hardhout
03419000-0,Timmerhout
03419100-1,Timmerhoutproducten
03419200-2,Mijnhout
03420000-0,Gomsoorten
03421000-7,Balsems
03422000-4,Lak
03430000-3,Kurk
03431000-0,Natuurkurk
03432000-7,Mandenwerk
03432100-8,Vlechtwerk
03440000-6,Bosbouwproducten
03441000-3,"Sierplanten, grassen, mossen of korstmossen"
03450000-9,Boomkwekerijproducten
03451000-6,Planten
03451100-7,Tuinplanten
03451200-8,Bloembollen
03451300-9,Heesters
03452000-3,Bomen
03460000-2,Pulp
03461000-9,Houtpulp
03461100-0,Houtcellulose
09000000-3,"Aardolieproducten, brandstof, elektriciteit en andere energiebronnen"
09100000-0,Brandstoffen
09110000-3,Vaste brandstoffen
09111000-0,Steenkool en brandstoffen op basis van steenkool
09111100-1,Steenkool
09111200-2,Brandstoffen op basis van steenkool
09111210-5,Antraciet
09111220-8,Briketten
09111300-3,Fossiele brandstoffen
09111400-4,Brandstoffen op basis van hout
09112000-7,Bruinkool en turf
09112100-8,Bruinkool
09112200-9,Turf
09113000-4,Cokes
09120000-6,Gasvormige brandstoffen
09121000-3,"Steenkoolgas, leidinggas of soortgelijke gassen"
